RepairOrderNo	CustID	Qty	Description	Material	Condition	Color	SizeWgt	Price
12500	"6018"	1	"Extension"	"Acrylic"		"Beige/Green/Burgundy Stripe"	"7'3x3'9=27.19'"	0.0000
12501	"25872"	1	"Curtain"	"Acrylic"	"new"	"Green"	"91""x82"""	0.0000
12502	"15155"	1	"Double F1"	"Acrylic"	"Fair"	"Orange"	"6'2x4"	0.0000
12502	"15155"	1	"Single rear down"	"Acrylic"	"Fair"	"Orange"	"3x3"	0.0000
12502	"15155"	1	"Single top front #1"	"Acrylic"	"Fair"	"Orange"	"3x4"	0.0000
12502	"15155"	1	"Single top front #2"	"Acrylic"	"Fair"	"Orange"	"3x4"	0.0000
12502	"15155"	1	"Single top rear"	"Acrylic"	"Fair"	"Orange"	"3x4"	0.0000
12503	"18494"	1	"Patio"	"Acrylic"		"Green"	"33'10x11'6=389.05'"	0.0000
12504	"15898"	1	"Patio - RS"	"Firesist"	"NewS17"	"Blue"	"~33x27=894'"	0.0000
12504	"15898"	1	"Patio - LS"	"Firesist"	"NewS17"	"Blue"	"~35x27=844'"	0.0000
12504	"15898"	1	"Back panel - LS"	"Firesist"		"Blue"	"70'"	0.0000
12504	"15898"	1	"Back panel - RS"	"Firesist"		"Blue"	"87'"	0.0000
12504	"15898"	1	"Back panel - L end"	"Firesist"		"Blue"	"30'"	0.0000
12505	"22806"	1	"Patio"	"Acrylic"		"Burgundy/Tan/DkGreen"	"18'2x9'5=171.16'"	0.0000
12506	"25045"	1	"Freestander-Kiddie pool"	"Sunb4754"	"New18"	"Green/White/Black"	"21'2x9'2=194.13'"	0.0000
12506	"25045"	1	"Freestander-LS pool"	"Sunb4754"	"New18"	"Green/White/Black"	"30'2x16=482.72'"	0.0000
12506	"25045"	1	"Freestander-RS pool"	"Sunb4754"	"New18"	"Green/White/Black"	"40'3x13'8=550.22'"	0.0000
12507	"19551"	1	"Freestander"	"Acrylic"		"Teal"	"29'11x13'6=403.92'"	0.0000
12508	"24030"	1	"Freestander"	"Acrylic"		"Grey"	"18'6x28+2faces=702'"	0.0000
12509	"25873"	1	"Patio"	"Acrylic"		"Green/Red/White"		0.0000
12510	"25085"	1	"Covers"	"Stamoid"	"ruffled edge"	"White"	"~8'4x3=25'"	0.0000
12511	"18507"	1	"Patio"	"Acrylic"		"Tan/Green/Multi"	"26'8x16'8=444.59'"	0.0000
12512	"11588"	1	"Patio"	"Acrylic"		"Yellow/White"	"22x16'4=359.48'"	0.0000
12513	"22939"	1	"Patio"	"Acrylic"	"New2016"	"Green"	"15'3x10'3=156.31'"	0.0000
12514	"24135"	1	"Patio"	"Acrylic"		"Tan/Brown/Grey/Multi"	"27'5x16'11=463.95'"	0.0000
12515	"25886"	1	"Cover 1"	"Acrylic"		"Yellow"	"9'1x4'1=37.05'"	0.0000
12515	"25886"	1	"Bimini 2"	"Acrylic"		"Yellow"	"8'1x9'10=79.43'"	0.0000
12539	"25097"	2	"Umbrella"	"Acrylic"	"wood pole"	"Oyster, hemmed"	"4'10R=73.25'/120.86"	0.0000
12539	"25097"	1	"Umbrella"	"Acrylic"	"metal spire/pole"	"White, hemmed"	"5'6R=95'/156.75"	0.0000
12539	"25097"	1	"Tent 2"	"Canvas"		"White"	"13'6x13'6=182.25'"	0.0000
12540	"6258"	1	"Window 1"	"Stam+V"		"White/Clear"	"3'6x6'6=22.75'"	0.0000
12540	"6258"	1	"Window 3"	"Stam+V"		"White/Clear"	"~3x6'6=19.5'"	0.0000
12540	"6258"	1	"Window 4"	"Stam+V"		"White/Clear"	"~3'3x4'1=13.26'"	0.0000
12540	"6258"	1	"Window 10"	"Stam+V"		"White/Clear"	"~2'6x4'7=11.45'"	0.0000
12540	"6258"	1	"Window 12"	"Stam+V"		"White/Clear"	"~2'9x3'6=9.63'"	0.0000
12540	"6258"	1	"Window 14"	"Stam+V"		"White/Clear"	"~4x3'7=14.32'"	0.0000
12540	"6258"	1	"Window 15"	"Stam+V"		"White/Clear"	"~4x3'7=14.32'"	0.0000
12541	"2688"	1	"Pool Canopy"	"Sunb #5700"		"Green/White"	"13x3=39'"	0.0000
12541	"2688"	1	"L1 Hip"	"Acrylic"		"Green/White"	"96'"	0.0000
12541	"2688"	1	"L2 Hip"	"Acrylic"		"Green/White"		0.0000
12541	"2688"	1	"L3 Hip"	"Acrylic"		"Green/White"		0.0000
